1. Baulandver‰uﬂerungen in Bayern nach Baulandarten;;;;;;;;
;;;;;;;;
Jahr;;Baulandver‰uﬂerungen insgesamt;;;Baureifes Land;;;
Viertel-;F‰lle;Fl‰che;Kaufpreis;;F‰lle;Fl‰che;Kaufpreis;
Jahr;Zahl;1000m≤;1000 EUR;EUR je m≤;Zahl;1000 m≤;1000 EUR;EUR je m≤
;;;;;;;;
2009;;;;;;;;
 1. Vj. ; 2 195    ; 2 926    ; 313 223    ;  107,05    ; 1 779    ; 1 533    ; 263 068    ;  171,56    
 2. Vj. ; 3 357    ; 3 844    ; 548 679    ;  142,72    ; 2 787    ; 2 253    ; 475 458    ;  211,06    
 3. Vj. ; 3 265    ; 3 753    ; 537 323    ;  143,16    ; 2 733    ; 2 195    ; 454 011    ;  206,85    
 4. Vj. ; 3 645    ; 4 828    ; 681 134    ;  141,07    ; 2 905    ; 2 355    ; 546 667    ;  232,15    
;;;;;;;;
2010;;;;;;;;
 1. Vj. ; 2 915    ; 3 777    ; 429 153    ;  113,63    ; 2 218    ; 1 725    ; 340 725    ;  197,47    
 2. Vj. ; 2 843    ; 3 564    ; 474 535    ;  133,16    ; 2 397    ; 1 921    ; 412 710    ;  214,82    
 3. Vj. ; 2 193    ; 2 697    ; 426 838    ;  158,24    ; 1 866    ; 1 476    ; 373 271    ;  252,87    
 4. Vj. ; 3 810    ; 5 269    ; 805 247    ;  152,83    ; 3 013    ; 2 466    ; 690 705    ;  280,07    
;;;;;;;;
2011;;;;;;;;
 1. Vj. ; 1 927    ; 2 317    ; 344 694    ;  148,75    ; 1 608    ; 1 311    ; 297 359    ;  226,80    
2. Vj.; 2 210    ; 2 722    ; 439 108    ;  161,31    ; 1 812    ; 1 547    ; 386 384    ;  249,83    
3. Vj.; 5 243    ; 6 067    ; 934 412    ;  154,02    ; 4 122    ; 3 372    ; 812 579    ;  240,96    
 4. Vj. ; 5 066    ; 7 737    ;1 011 032    ;  130,67    ; 3 988    ; 3 577    ; 799 720    ;  223,58    
;;;;;;;;
2012;;;;;;;;
 1. Vj. ; 2 469    ; 3 231    ; 438 056    ;  135,57    ; 2 021    ; 1 682    ; 332 289    ;  197,54    
2. Vj.; 4 657    ; 5 734    ; 732 506    ;  127,76    ; 3 763    ; 3 133    ; 621 773    ;  198,47    
3. Vj.; 4 629    ; 5 811    ;1 008 499    ;  173,56    ; 3 966    ; 3 638    ; 874 771    ;  240,44    
4. Vj.; 8 338    ; 11 394    ;1 749 890    ;  153,58    ; 6 654    ; 5 999    ;1 450 072    ;  241,72    
;;;;;;;;
2013;;;;;;;;
 1. Vj. ; 1 658    ; 2 065    ; 394 958    ;  191,27    ; 1 305    ; 1 093    ; 322 571    ;  295,07    
2. Vj.; 3 141    ; 4 271    ; 773 619    ;  181,13    ; 2 615    ; 2 332    ; 641 578    ;  275,08    
3. Vj.; 6 253    ; 9 455    ;1 043 885    ;  110,41    ; 5 151    ; 4 544    ; 807 254    ;  177,67    
4. Vj.; 7 417    ; 10 817    ;1 618 717    ;  149,65    ; 6 096    ; 5 665    ;1 267 926    ;  223,81    
;;;;;;;;
2014;;;;;;;;
 1. Vj. ; 4 814    ; 6 482    ;1 009 609    ;  155,76    ; 3 932    ; 3 374    ; 806 597    ;  239,06    
2. Vj.; 5 003    ; 6 100    ; 951 674    ;  156,02    ; 4 129    ; 3 728    ; 769 773    ;  206,48    
3. Vj.; 4 964    ; 6 965    ;1 034 094    ;  148,47    ; 4 052    ; 3 630    ; 867 909    ;  239,07    
4. Vj.; 5 729    ; 7 990    ;1 493 840    ;  186,96    ; 4 743    ; 4 432    ;1 229 790    ;  277,46    
;;;;;;;;
2015;;;;;;;;
 1. Vj. ; 3 034    ; 4 536    ; 692 422    ;  152,66    ; 2 546    ; 2 340    ; 558 472    ;  238,69    
2. Vj.; 4 548    ; 6 572    ; 958 226    ;  145,82    ; 3 795    ; 3 362    ; 768 580    ;  228,64    
3. Vj.; 5 824    ; 8 643    ;1 467 400    ;  169,77    ; 4 822    ; 4 969    ;1 192 354    ;  239,98    
